,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,도로명전체주소,lat,lng
8143,어울림회센타,일반음식점,기타,제주특별자치도 제주시 화북일동 1982-10 화북베스트빌라,"제주특별자치도 제주시 진동로1길 11, 가형 101-3호 (화북일동, 화북베스트빌라)",33.5195861,126.5652723
8144,메이오름,일반음식점,기타,제주특별자치도 제주시 구좌읍 동복리 1652-2,"제주특별자치도 제주시 구좌읍 일주동로 1626, 1층",33.5519540,126.7066643
8145,비오,일반음식점,기타,제주특별자치도 제주시 애월읍 금성리 482,"제주특별자치도 제주시 애월읍 금성5길 39, 2층 202호",33.4475712,126.3010143
8146,월정포차,일반음식점,기타,제주특별자치도 제주시 구좌읍 월정리 659-1,"제주특별자치도 제주시 구좌읍 월정중길 55, 2층",33.5583368,126.7942631
8147,모드니,일반음식점,기타,제주특별자치도 제주시 연동 285-10번지,"제주특별자치도 제주시 연동12길 24, 1층 101호 (연동)",33.4838116,126.4929462
8148,카페메콩스카이,일반음식점,기타,제주특별자치도 제주시 아라일동 358-9,"제주특별자치도 제주시 제주대학로 77, 1층 (아라일동)",33.4593430,126.5584884
8149,블랙씨걸2호점,일반음식점,기타,제주특별자치도 제주시 한림읍 한림리 1479-1,"제주특별자치도 제주시 한림읍 한림서길 22, 1층",33.4095141,126.2587146
8150,세렌디피아,일반음식점,호프/통닭,제주특별자치도 제주시 외도일동 548-9,"제주특별자치도 제주시 우령2길 20, 1층 (외도일동)",33.4875432,126.4313590
8151,황가,일반음식점,기타,제주특별자치도 제주시 화북일동 1968,"제주특별자치도 제주시 진동로5길 42, 1층 (화북일동)",33.5216963,126.5675185
8152,알포인트커피,일반음식점,기타,제주특별자치도 제주시 애월읍 곽지리 354,"제주특별자치도 제주시 애월읍 천덕로 218-3, 1층",33.4348542,126.3233375
8153,비바리순댓국본점,일반음식점,한식,제주특별자치도 제주시 연동 311-74,"제주특별자치도 제주시 신대로7길 10, 1층 (연동)",33.4917193,126.4976872
8154,심심포차,일반음식점,기타,제주특별자치도 제주시 이도이동 1136-15,"제주특별자치도 제주시 동고산로 38-2, 1층 (이도이동)",33.4989406,126.5348494
8155,시민상회,일반음식점,한식,제주특별자치도 제주시 이도일동 1697-1,"제주특별자치도 제주시 오현길 38, 1층 (이도일동)",33.5084482,126.5263244
8156,열날개,일반음식점,한식,제주특별자치도 제주시 도련일동 1588-1 블루힐,"제주특별자치도 제주시 삼봉로 167, 블루힐 2층 (도련일동)",33.5067414,126.5913921
8157,샐러디아노형점,일반음식점,한식,제주특별자치도 제주시 노형동 906-5 한신오피스텔,"제주특별자치도 제주시 도령로 54, 한신오피스텔 1층 104호 (노형동)",33.4886911,126.4846000
8158,닥앤돈스칠성점,일반음식점,한식,제주특별자치도 제주시 삼도이동 1175-1 온새미로 카운티,"제주특별자치도 제주시 탑동로15길 28, 1층 (삼도이동, 온새미로 카운티)",33.5161227,126.5197808
